id	person_id	subject	ordering	Q1	Q2	Q3	Q4	Q5	Q6	Q7	diary
0	1	český jazyk	1	1	1	1	1	1	1	1	Zatím jsem absolvovala náslechové hodiny v hodinách chemie u osmáků a deváťáků. Paní učitelka učí matematiku obě dvě třídy a od letošního roku také chemii. Když nastupovala po deseti letech po rodičovské dovolené, dostala pouze učení matematiky. Proto mě také upozorňovala, že chemii „zdědila“ nyní a že by potřebovala alespoň týden, aby si mohla dát do pořádku laboratoř. Učebna chemie je zároveň kmenovou třídou šesťáků. Na první pohled běžná třída, pouze je tam navíc umyvadlo a digestoř. Laboratoř je malinká, neumím si představit, že by v ní probíhala nějaká výuka. Dokážu si tam představit 8-10 žáků. Ale třídy jsou zhruba po 27 žácích. Chemii mají obě třídy v pondělí a v pátek. Paní učitelka si zařídila, aly tyto hodiny byly po sobě, aby mohla o přestávce stihnout něco nachystat. Pokud chce paní učitelka něco chystat musí ráno nebo odpoledne, ale to říkala, že má toho tolik, že už jí nezbývá moc energie, aby ještě šla odpoledne do laboratoře. Paní učitelka je velice příjemná, ve středním věku. Ihned se mě ujala, provedla mě po škole, vzala mě i do hodiny matematiky. Protože, alespoň si to myslím, že je to z tohoto důvodu, je s dětmi, které učí chemii, každý den v hodinách matematiky, má ve třidě ticho. To mě překvapilo hodně, protože jsem čekala, že žáci budou více neukáznění. Výuka zatím probíhá hromadně, frontálně. Děti s paní učitelkou spolupracují, nebojí se jít k tabuli. Paní učitelka mě říkala, že z toho má radost, že i když je výsledek špatně, tak děti nejsou z toho špatní. Proto většinou píší testy, ústní zkoušení není časté. Z paní učitelky mám dobrý pocit, opravdu jde poznat, že ji práce baví. Překvapilo mě, jaký frmol ve škole je. Co jsem zahlédla, ale dále nezjišťovala, tak paní učitelka neměla žádné volné hodiny. Od rána pořád učila. Uvidím, jak učení zvládnu já. Připravujeme se na laboratorní práci. Děti budou pracovat ve dvojicích, téma bude filtrace a krystalizace. Paní učitelka mě nabídla tykání a po příchodu do třídy mě žákům představila. Už jsem stihla opravit jednu písemku deváťáků. Osmákům jsem test chystala a následně opravila. Osmáci se snaží mnohem více, připravují se na hodiny, učí se postupně značky chemických prvků. Paní učitelka je neustále v pohybu, chodí po třídě sem a tam, a tak má přehled, kdo už zadaný úkol splnil a jak. Toto se mi líbí hodně. Snaží se o zapojení všech. Hodně procvičují, opakují. Také mě přišlo, že hodně zapomínají a tak si skoro každou hodinu někdo napíše poznámku do žákovské knížky. Paní učitelka mi poslala plány výuky. Nyní deváťáci začali probírat nové učivo - výpočty z chemických rovnic. Po úvodní hodině jim paní učitelka nachystala na další hodinu pracovní listy. Přijde mi, že hodina rychle uběhne a moc se toho nestihne. Pokud se žáci, zvláště deváťáci, na učivo vůbec doma nepodívají, tak to vnímám jako problém. Učebnice paní učitelka moc nevyužívá. Jsem ráda, že jsem se setkala s paní učitelkou, která je vstřícná a myslím, že sem mi bude snažit pomoct, když bych měla problém. Nejsem z ní nervózní, což vnímám jako velké plus. Je komunikativní, mám na ni telefonní číslo a mohu se s ní domlouvat přes email. Paní učitelka zatím není ve skuzu, drží se plánů, které si připravila. Škola je menší, osmáci a deváťáci jsou po jedné třídě. Nemám zatím srovnání s dalšími vyučujícími. Tak uvidím, jak to bude pokračovat dál…
1	1	český jazyk	2	1	1	1	1	1	1	1	Jsem ráda, že jsem si vybrala školu, kterou navštěvuji. Základní škola je menší, někteří z mého okolí ji označují jako rodinnou. Poté, co někteří žáci odešli z páté třídy na víceletá gymnázia, došlo ke sloučení dvou tříd v jednu. Proto všechny třídy druhého stupně jsou pouze v jednom vydání. Pan vrátný už mě zdálky zdraví a zapisuje do knihy příchozích. Protože se na škole objevuji pravidelně a delší dobu, už mě poznávají i žáci na chodbě, a já jsem už také schopna si je přiřadit do třídy, kterou navštěvují. Paní doprovázející učitelky jsou vstřícné, odpovídají mi na veškeré mé dotazy a vůbec nemám pocit, že bych se nemohla na něco zeptat. Paní učitelka, která učí přírodopis, je mladá, učí druhým rokem, a je absolventkou PdFMU. Proto také vzpomínala na vyučující, kteří ji učili, na předměty, které ji bavili, ale i na ty, které byli náročné. Asi je normální, že každý učitel má svoje témata oblíbená a jiné méně. Tato paní učitelka ráda učí živočichy, člověka, rostliny ji nedělají žádný problém, mnohem míň ráda učí genetiku a šutry. To mi pak říkala, že přípravě věnuje více času a oprašování znalostí. Moc se mi líbí, jak přírodopis učí. Kdybych se naučila takto učit přírodopis, byla bych ráda. Na první hodině mě překvapilo, že ve třídě je zvýšený hluk, proto celkem pravidelně paní učitelka upozorňuje žáky, aby byli ticho. Nikdy tam ale není takové ticho, jaké jsem pravidelně zakoušela ve třídě s paní učitelkou z chemie. Zkušenost pro mě: stejná třída reaguje naprosto odlišně na jiné učitele. A myslím že není na škodu, že některý pedagog zvládá výuku a zapojení žáků do výuky, i když tam není naprosté ticho. Přišlo mi, že v hodinách přírodopisu, jsou mnohem více, právě díky tomuto benevolentnějšímu přístupu co se týče naprostého ticha ve třídě, přístupnější a otevřenější ke komunikaci. Nebojí se vyjadřovat, ptají se, zapojují se. Přišlo mi, že je tam více partnerského přístupu, tudíž i více otevřenosti. Žáci paní učitelko berou. Je pro ně čitelná. Je spravedlivá. Její hodiny jsou, alespoň mě to přijde, všechny stejně strukturované. Všichni ví, jak hodina probíhá, vnímám, že to na žáky působí dobře. Po zazvonění přijdou žáci do kabinetu pro pomůcky, p. uč přijde do hodiny, zapíše do třídní knihy a zkouší dva žáky u tabule. Ze začátku mi přišlo, že tato část hodiny je dlouhá, ale záleží, zda žáci jsou naučení či ne. Zkoušení je pro zbytek třídy také přínosné, protože se žáci také zapojují. Jsou zvyklí klást spolužákům u tabule otázky, takže si dané učivo taky zopakují. Při opakování si házejí děti po třídě míček, učí se formulovat otázku a jsou připraveni na otázky odpovídat. Pracují s učebnicí každou hodinu. Čtou text, paní učitelka jim ho vysvětluje, snaží se, aby pochopili, co je v učebnici napsáno. Říká jim spoustu zajímavostí, používá prezentace, videa.
2	1	český jazyk	3	1	1	1	1	1	1	1	Praxe už mám skoro za sebou. Je tolik věcí, na které je potřeba si dávat pozor, že mi přijde, že pokaždé se toho víc nepovedlo, než povedlo. Musím mít větší nadhled a přijmout fakt, že je to běh na dlouhou trať. Stalo se mi, že jsem učila dvě hodiny – o jedné jsem si myslela, že bude v pohodě a druhá, že to budou muka. Dopadlo to tak, že to bylo úplně naopak. To, co jsem považovala za těžké, se ukázalo s danou třídou mnohem víc v pohodě. Už měli základy z fyziky a spolupracovali dobře. Druhou hodinu jsem učila redoxní reakce u deváťáků a oni vůbec nechápali nic. Myslím si, ale že to nebylo úplně mou vinou, protože toto téma už vyžaduje, že umí pojmenovat sloučeniny a zapsat chemickou reakci, a to oni vůbec nedokázali. Snažili se zapojovat, komunikovali hodně, ale spíše se předváděli, než že by to bylo kvůli učivu chemie. Pro mě zajímavé zjištění, že po pár násleších už jsem věděla, v které třídě bych chtěla učit a ve které třídě raději ne. I když žáci s každým učitelem mají jiné vztahy, které určují klima v dané hodině, každá třída je specifická. Určitě někomu jinému by sedla jiná třída. Já jsem poznala, ve které třídě by to mohlo být pro začátek lepší. Třídy na druhém stupni jsou naddimenzované. Je tam 28-30 žáků. 30 žáků už je opravdu ta hranice. Tento týden osm žáků chybělo a já jsem si okamžitě všimla toho rozdílu. 30 versus 22. Příjemnější, komfortnější komunikace, mnohem více zapojení žáků, kdy se mi během opakování podařilo zapojit všechny žáky. V kabinetě přírodopisu sedí dvě mladé učitelky. Jedna stále křičí a nakonec mě bylo mou provázející učitelkou řečeno, že s žáky jedině musím komunikovat oznamovacím způsobem a rozkazovacím. Podmiňovací mám ze svého slovníku vynechat. Protože musí mít pevně daná pravidla a neustále na nich trvat. Zvýšený hlas, křičení, neustálé napomínání a dávání konečných termínů. Blíží se pololetí a známky z přírodopisu mezi ostatními předměty jsou ty nejhorší. A není už moc šancí si je opravit, protože na vše jsou pravila. Ústní zkoušení je pouze max. dvakrát za pololetí, protože by toho někteří žáci neustále zneužívali. Test si lze opravit jen jednou za pololetí a počítá se ta druhá známka, i když je horší než ta předchozí. Testy jsou hlášeny dopředu a měli se na ně naučit. Basta. To stejné bylo i v chemii- žáci by neustále chtěli další a další šance, ale nelze si jeden test opravovat několikrát za sebou. Několikrát jsem slyšela, že oni musí narazit, případně jim nelze donekonečna vycházet vstříct. Rozdíly mezi žáky jsou velké. Ten, kdo má IVP, tak má různé úlevy (někdy ani to nepomáhá), delší čas na test, většinou jiný, mnohem méně náročný test. Ještě k těm známkám v přírodopise- není výjimkou, že žáci mají pětku, dělají reparát nebo pokud mají pětek více, tak propadají. Což ovšem nic neřeší, protože propadnout jde pouze jednou na prvním stupni a jednou na druhém stupni. Žák tedy jednou propadne, poté už propadnout nemůže a na základě prospěchu se asi ze školy nevylučuje. Ty žáci, kteří tam jsou, musí základní školou projít, i když ty vědomosti a to co mají umět, neumí ani na dostatečně, to je 4. Musím si dávat větší pozor na čas a dodržení plánu. Stalo se mi při prvním učení, že jsem nestihla, co jsem měla připravené. U druhé hodiny jsem si dávala větší pozor a bylo to lepší. Počítače (pracovní), dataprojektory – většinou nefungují a je vidět, že už to učitelé neřeší. To pak mají mít žáci referát a prezentaci a neustále se to odkládá, protože velmi starý počítač, který p. uč má ze školy, odešel do věčných lovišť, není, kdo by ho opravil, dataprojektor promítá pouze v růžovém zbarvení a přijde mi, že to nikdo neřeší. Svůj osobní počítač p. uč nechce použít, aby se ji s ním nic nestalo. Chystání písemek, oprava sešitů, příprava na vánoční jarmark. Málo osobního volna a chystání něčeho navíc už p. uč. nezvládají. Jedou v zajetých kolejích, ale jsou obdivuhodné. Moc by mě zajímalo, jak se jejich učitelská kariéra bude vyvíjet. Zda půjdou na mateřskou, nebo zda odejdou ze školy (to jsem taky už zaslechla), nebo zda za pár let budou stále učit (třeba na jiné škole). Uvidím, co já. Zda se přenesu přes počáteční neúspěchy a budu se snažit pracovat na rozvoji a dovednostech učitelské profese nebo zjistím, že to opravdu není pro mě.
3	2	český jazyk	1	1	1	2	2	1	2	1	První úkol a co napsat. Sedím pátý den na praxi a dělám si poznámky hlavně toho, co bylo pro mě stěžejní. Co mi přišlo dobré, jiné. Co bych chtěla změnit a co si zase převzít do své výuky. Byla to nostalgie! Bylo to velké očekávání! Bylo to ale taky velké probuzení! To vše byl první den ve škole. Nadšení vystřídal strach. Dostala jsem se na své praxi hned k nejstarším ročníkům na škole – ,,osmáci a deváťáci“. To bude velká legrace :D Ale vše se zvládne. Dostala jsem se do kabinetu, kde sedí jen dvě češtinářky a teď i já, takže je to paráda. Jsou hodné a snaží se mi vše vysvětlit a uklidnit mě :D :D Připadám si jak vetřelec :D Skoro na všech prvních hodinách náslechů se žáci otáčí a koukají na mě. Ve všech třídách i během hodin. Je to srandovní. Ale není se čemu divit, asi bych se v jejich případě taky otáčela a zkoumala toho vetřelce :D První den praxe se nesl v duchu opakování učiva českého jazyka z předchozího ročníku. V každé třídě jsem byla představena. :) Je jedno, jaká to byla třída, všichni opakovali. Já jsem byla v šoku. Je jedno, ač to byli sedmáci, osmáci či deváťáci, měla jsem jiné mínění o jejich znalostech. Myslela jsem si, že vyjmenovat pády, určit rod a vzor, že toto učivo v těchto třídách již děti znají a mají to v malíku. Ale šíleně jsem se spletla. Samozřejmě, je to žák od žáka. Nemůžeme je házet všechny do jednoho pytle, ale jakože deváťák neumí pády? Cože???? A je vidět, je ho to ale vůbec netrápí! Vždyť ale budou přijímačky!! Copak se nechce jít učit, vyučit, studovat? Je hrozné, jak ke škole a k učivu někteří žáci přistupují. Ty rozdíly!! To je šíleně vidět. Někteří chtějí a někteří nechtějí. Ale co s tím? Jak to změnit. Nebo se jen předvádí přede mnou? Uvidíme v dalších hodinách. Jsem zvědavá. Provázející paní učitelka mi po hodinách říká, že je vidět, že se žáci předváděli, že to další dny bude lepší. Musejí si zvyknout. Uplynuly dva dny a jdu opět na to. Ve všech třídách dnes píšeme tzv. VSTUPNÍ TESTY. Lépe řečeno, opakování učiva z předchozího ročníku. Těším se. Jsem zvědavá. Je to takový jiný pocit, když se píšou takové velké testy. První hodina – sedmáci. Jsem naprosto překvapená. Po 30 minutách odevzdávají první, co mají hotové. V zápětí skoro celá třída. Ještě větší překvapení, že z testu nebyla žádná 5 ani 4. Mohla jsem nakouknout do testů. Fakt jsou dobří. Musím si své hodiny dost dobře připravit. Musí je to bavit! A teď na obě devítky. Na ty se teším. Ale spíše na to, jak test pojmou. Budou se snažit, nebo ti, co se předváděli, tak jsou ve třídě za baviče? Ale co, čekalo mě větší překvapení! Ve třídě najednou od rána není pět žáků. Jaké to překvapení :D Ale nemusí se bát, čeká je to hned v další hodině. No a další překvapení! Někteří se omlouvají, že o testu nevěděli. COŽE???? Vždyt opakují celé zaří a ví, že první hodinu v říjnu píší test. A oni se omlouvají, že nejsou připraveni na látku z minulých ročníků. Tohle mě dostalo. Paní učitelka se ale nenechala. Minulý ročník mají ochozený. Nikdo nepropadl, takže není důvod se omlouvat nebo nepsat test. Píší všichni ve škole. Pro někoho asi bohužel. Ale i tak test dopadl dobře. Žádná pětka nebyla, ale ze dvou tříd pouze tři jedničky. Jsou šikovní. Tak jsem zvědavá, co bude dál ….....
4	2	český jazyk	2	1	1	2	2	1	2	1	Čtrnáct dní uteklo jako voda a já sedím a přemýšlím, co mi utkvělo v hlavě za tu dobu, co chodím na praxi. To, že jsem překvapena, jak žáci zapomínají úkoly, sešity, učebnice a žákovskou knížku, to asi vždy bylo i je. Pokaždé ale přemýšlím, jaké najít řešení tohoto problému. Vždyť, když půlka žáků něco nemá, jak se dá pak učit. Nebo si velmi často kladu otázku, zda rodiče dohlíží na své děti, jestli mají vše nachystané nebo jim stačí odpověď od dítěte, že je připravené. Nevím, zda je tento problém řešitelný poznámkami, nějakými puntíky či tresty. Je to zapeklité kolo stále a pořád dokola. Ale o čem chci psát tento záznam. Moje paní provázející učitelka mi dala krásný dárek k mým narozeninám. Nechala mě opravit testy žáků. Celý den jsem se na to chystala a doufám, že jsem nezklamala a vše opravila dobře. Ale k samotným testům. Test to nebyl nikterak těžký. Byl připraven pro devátou třídu a test se psal na látku – přejatá slova. V prvním zadání měli žáci doplnit písmenka do slov. Bylo tam slovní spojení ,,známý te_tař“. Překvapilo mě, že žáci vymýšleli slova jako testař, tesař, tématař. Nebo slovo ,,manikúra“ doplňí jako manekýra. Řekla bych, že byla vybrána slova, která jsou všeobecně známa a žáci devátých tříd se s nimi museli již setkat. Druhý úkol byl docela lehký. Mohli na něm nahrat body, ale málokdo se snažil nebo věděl. Měli tři věty a opravit v nich pravopisné chyby. V dalším úkolu měli žáci použít tři slova ve větách. Naprosto snadný úkol. Parádní věc na body, ale slovo ,,virtuos“ jim dělalo velkééé problémy. I během písemky se i ptali, kdo to je, nebo co to znamená. V posledním úkolu měli nahradit slova přejatá slovy domácími. S tím měli největší problém. Málokdo měl slova dobře. Byly to tři slova – emigrant, idea, kauza. Paní učitelka mi říkala, že pokud budu chtít, mohu testy i obodovat a oznámkovat. Upřímně, netroufla jsem si na to! Ty poslední tři slova mi daly natolik zabrat, když jsem viděla, jak to nikdo nemá dobře, že jsem opravila první tři úkoly a poslední úkol jsem nechala paní učitelce. Některé odpovědi žáků byly velice úsměvné, ale celkový výsledek k pláči. Je vidět, jak děti vůbec nečtou! Samozřejmě nemůžeme házet všechny do stejného pytle. Byly tam děti, které to měly dobře. Ale mohli bychom je spočítat na prstech jedné ruky. Ale moje pocity z opravování byly spíše zklamání, soucit, touha učit a naučit. A i když je paní provázející učitelka výborná a velice akční pro hodiny češtiny, tak je mi jí líto, že děti, zejména v našem případě deváťáci, se více nesnaží. Protože ona jim připravuje plno akcí, aby hodiny neměli stejné a monotónní. Další den jsme test psali s druhou třídou, ale nabídku opravování jsem odmítla. Tak jsem zvědavá na tento týden, jaké budou výsledné známky, a jestli jsem to opravila správně.
5	2	český jazyk	3	1	1	2	2	1	2	1	Během dalších čtrnácti dní se nic zásadního za mé praxe nestalo. Už jsem si zvykla, že žáci na začátku hodin vstávají a omlouvají se, že nemají plno věcí. I když neustále přemýšlím, co dělají jejich rodiče, jestli se o ně starají. Paní učitelku to však nevyvádí z míry a udělala si svůj vlastní systém a za tři omluvy, kdy něco zapomněli, tak počtvrté dostanou poznámku do žákovské knížky. Nyní jsem se zaměřila na žáky s odlišným mateřským jazykem, což je obor, který studuji. Mám tu výhodu, že v sedmé i deváté třídě mám tyto žáky. Jak s nimi paní učitelka pracuje. Jak sami žáci pracují a fungují ve škole a ve svém kolektivu. Ale co si vybavím během těchto dní jsou ústní referáty žáků sedmé třídy. Byla to hodina literatury a brali látku – Bible. Z minulé hodiny si měli nachystat pětiminutový výstup před třídou. Referáty to byly dobrovolné. Každý měl možnost si vylepšit známku. Ale zarazilo mě, což jsem opravdu koukala, že žák sedmé třídy si vezme dobrovolně referát. Paní učitelka mu dá tu možnost zlepšení známky, vybere mu téma a on se na to vykašle. Normálně řekl, že si referát nakonec nepřipravil a nepřipraví. A co teď? Co v této situaci bych dělala já. A čekala jsem, co bude dělat i paní učitelka. A ta mu to po chvilce v klidu vysvětlila, že si to vzal dobrovolně a je to závazek, který musí splnit. Že tu možnost mohl dostat někdo jiný. A že to dluží ostatním. Takže si referát musí připravit na další hodinu. U ostatních žáků mě překvapila připravenost nebo nepřipravenost. Byo vidět, kdo si téma hledal a upravil dle svých slov. A naopak, kdo si to stáhnul a naučil se to zpaměti. Jednoho chlapečka mě bylo až líto. Chudáček byl strašně nervózní. Jeho referát, jak byl nervózní, tak se zasekával a neustále používal, dle paní učitelky, tzv. vycpávkové slovo. Takhle hodina se mi u nich opravdu líbila a strašně mi utekla. Jinak opravdu se nic zvláštního nestalo. Co by mě zaujalo. Opakovalo se na čtvrletní písemky a další týden je žáci psali. Příští semestr bych chtěla chodit na víc literatur, pokud mi to rozvrh dovolí. Nyní jsem skoro pořád chodila na hodiny českého jazyka. Stejně mi v té škole připadne vše rychlejší než jsem si myslela. Hodina začne a hned skončí. To dopoledne uteče jak voda. Je to k neuvěření.
6	2	český jazyk	5	1	1	2	2	1	2	1	Nejpřekvapivější věc, která se mi v poslední době na mojí škole stala, bylo toto. Přišla jsem do školy jako vždy. Došla do kabinetu a v kabinetu sedí dvě paní učitelky, obě jsou češtinářky. Abych praxi neměla vždy nudnou a stejnou, protože moje provázející paní učitelka má třeba tři stejné hodiny po sobě, tak chodím i do hodin k druhé paní učitelce. Abych měla změnu. :) No a to byl i tento den. První hodinu jsem se šla s druhou paní učitelkou podívat na její hodinu češtiny do třídy, kde jsem ještě vůbec nebyla a neviděla jsem tu třídu ani žáky. Po pár vteřinách po domluvě v kabinetu mi najednou paní učitelky začly naznačovat, že je pátek. A že vůně v této třídě v pátek bývá horší. Že je zde žák, který je v tento den ve třídě cítit, tak ať se nedivím, že se při příchodu do třídy otevírají okna. Že v pondělí je vzduch ve třídě normální, ale během týdne nastává tato trapná situace, že se ovzduší ve třídě mění. No co Vám povím, koukala jsem na ně a byla docela zvědavá, co tedy přijde. Nemůžu říci, že jsem se těšila nebo že jsem se bála, co mě čeká. Po zvonění jsme se vydaly s paní učitelkou do třídy a hned u dveří mě onen zápach bouchl přes nos. Během cesty do třídy mi paní učitelka doporučila i místo, kam bych si mohla sednout, aby to nebylo tak nepříjemné. A hned po uvítání mi přede všemi řekla, ať si vezmu židli a sednu dozadu k oknu. Nevěřila jsem jim v kabinetě. Opravdu ne. Ale bylo to tak!!! Žákům tato vůně už asi přijde normální, protože ani během přestávky neměli ve třídě otevřené okno. Protože kdyby jim toto vadilo, určitě by to řešili nějak. A vlastně i vedle tohoto žáka i kolem seděli kolem dokola žáci. Přemýšlela jsem v kabinetu, jestli žák sedí třeba někde mimo nebo vzadu, ale ne. Sedí uprostřed třídy. Celou hodinu jsem se nesoustředila ani tak na učení, jak jsem koukala na žáka, který ,,zapáchal“. Přemýšlela jsem – co ostatní žáci? Co rodiče? Co učitelé? Jestli se to řeší či neřeší? Jestli to žákovi dávají nějak najevo. No přece být to moje dítě, tak to řeším. Ať je to jakkoliv, tak i doma musí být žák cítit. A překvapivě to škola i řešila s rodiči, protože tohle byla moje první otázka po hodině na paní učitelku. A přece rodiče to mají řešit nejvíce. Tak jsem si říkala, že já být maminkou a vědět toto, tak i své dítě kontroluji. Peru mu častěji oblečení. Nebo bych mu jeho oblečení dávala každý den do špinavého prádla a hlavně třeba horní svršky oblečení. Přece jaká je to ostuda, když jste jako rodiče pozváni do školy a tam vám oznámí, že vaše dítě zapáchá a že by jste s tím měli něco dělat!!!! Závěr či řešení to asi nemá žádné, pokud se k tomu doma zodpovědně nepostaví rodiče i s žákem, protoře ve škole je to bráno už jako normální věc. A toto je další zajímavá zkušenost ze světa učitelů.
7	3	historie a křesťanská výchova	1	2	3	4	4	3	3	3	Tak je to tady. Praxe. Školu, kterou jsem si vybral je škola na vesnici na cípu jižní Moravy, kde nyní žiju. Celý svůj dosavadní život jsem žil v Brně a tak jsem se i v průběhu svého vzdělávání pohyboval ve školách, kde bylo velké množství žáků a široký učitelský sbor- jaká to změna oproti mnou vybrané škole, která se řadí mezi menší a kde je od každého ročníku jen jedna třída. Tomuto počtu žáků samozřejmě odpovídá i početnost učitelského sboru. Přiznám se, že tento fakt mi spíše nevyhovuje – dávám přednost větší anonymitě větší školy, kde na něj ostatní nekoukají jako na zjevení, když se tam objeví poprvé ( a snad dalších 14 dní potom). Vím, že je to možná trochu divné, ale cítit na sobě neustále pohled těch puberťáků mi nebylo příjemné. Teď co se týče samotné praxe. Na dějepis i občanskou výchovu mám stejného provýzejícího učitele – tedy spíše učitelku. Musím se přiznat, že jsem už před prvním setkaním trpěl vůči ní mírnou averzí. Důvod je velice jednoduchý- od své přítelkyně a mnoha dalších, kteří je absolventi místní základní školy jsem o jejích vyučovacích metodách a výsledcích slyšel dost, abych si udělal dopředu ne zrovna lichotivý obrázek. Snažil jsem se od toho ovšem oprostit a tyto mé pocity zatlačit co nejhlouběji a dát své provázející učitelce „šanci“. Tak to tedy konečně začalo- první hodina. Domluvili jsme se, že začnu klasicky náslechy, aby si na mojí přitomnost v hodinách žáci zvykli a chovali se vůči mě přirozeně, jako ke každému jinému učiteli. První hodina náslechu skončila a já sem si v duchu říkal: „Co tohle mělo do*rdele znamenat?“. To, co jsem o hodinách slyšel se potvrdilo a snad i předčilo moje obavy. Zajímavé téma, které bylo žákům předneseno naprosto nezajímavou formou, naprosto nezajímavým způsobem a naprosto nezajímavým učitelem. Informační hodnota hodiny se podle mne limitně blížila nule. Na základní škole a později i na gymnásiu jsem měl velké štěstí na skvělé dějepisáře, s kterými mě dějepis jednoduše bavil, ale kdybych měl tuto učitelku, tak dnes tady možná píšu reflektivní deník na hodinu chemie. Po hodině následovalo samozřejmě krátké zhodnocení hodiny s učitelkou. Co sem ji měl sakra říct? „Hele slyšel jsem o Vás hodně, ale tohle bylo horší než sem čekal?“. Asi ne. Takže nahodit úsměv a mluvit počasí („To máme krásné teplo ještě, že?“).
8	3	historie a křesťanská výchova	2	2	3	4	4	3	3	3	Když jsem, tak přemýšlel o hodinách s mojí provázející učitelkou, tak jsem se tak nějak utvrdil, že chci opravdu učit. Ne kvůli sobě (i když mě to opravdu baví), ale kvůli těm dětem, které odcházejí z mnou vybrané školy s naprosto tristními znalostmi (dělal sem si takový „průzkum“ mezi dnes již bývalými žáky). Ne, že bych si o sobě myslel bůhví co, ale říkám si, že horší než tohle už to snad nebude. Tak tedy k praxím- hodiny, které vede provázející učitelka, jsou pořád stejné- tedy ubíjející nuda. A je to ještě o to horší, že se probírají, tak zajímavá témata! V deváté třídě například vznik totalitních režimů v meziválečné Evropě. Jde tam říct tolik zajímavých věcí, kterými lze žáky vtáhnout do tématu. Ale my ne..My sme se naučili, že jsou dva druhy totalitních režimů – komunismus a fašismus. Super..Ale mě by třeba zajímalo proč vznikly ve společnosti takové nálady, které dali vzniknout těmto ideologiím? Co to vlastně ten komunismus a fašismus znamená? A prosím, paní učitelko, nezaměňujte fašismus s nacismem, jak to zrovna příjde na jazyk..To mě při těch hodinách, tak strašně vytáčí. Co se týče samotné aktivní participace žáků při hodinách, tak ta není moc vyžadována. A když je, tak je vidět jaký v tom mají studenti guláš. Například v deváté třídě jsem nenarazil na žádného tahouna, který by tu třídu dokázal trochu vybudit a být přirozeně aktivní. To se odrazilo i při písemce – nebudu komentovat samotný obsah, který byl podle mne občas zavádějící. Ale když z asi 25 žáků nikdo nedostane jedničku, dvojek je asi pět a zbytek trojky a čtyřky, tak je něco špatně. Když jsem se o tom bavil s mojí provázející učitelkou, tak mi bylo řečeno, že „oni nejsou chytří, je to slabá třída“. Ok, může být. Ale, aby výsledky jednoduchého testu o základních věcech měly až tak špatné výsledky? Kdyby já byl v její pozici, tak aspoň přemýšlím, jestli něco nemůžu změnit i já. Jestli neexistuje nějaký efektivnější způsob, jak to do nich „nalejt“.
9	3	historie a křesťanská výchova	3	2	3	4	4	3	3	3	Uvědomil jsem si, že jsem ještě nepsal o tom, jak jsem učil já sám. Respektive o mých pocitech z toho. Začal bych asi tím, že návážu na první z deníků, kde jsem se zamýšlel nad tím, jak jsem se cítil na menší škole jako „nový“ prvek ve škole. Stalo se to, co se stát nevyhnutelně muselo- žáci si na mojí přítomnost zvykli a už na mě tak „nečumí“. A já se cítím lépe a po škole se pohybuji přirozeněji. A teď k samotným hodinám. Na ně jsem se těšil. Samozřejmě byla přítomná i nervozita, což ale považuji tak trochu za samozřejmé. Příprava na hodiny probíhala stylem, že jsme se s provázející učitelkou dohodli na hodinách a tématech, která si odučím. Dále mi bylo řečeno, kde se téma v učebnici nachází (už asi vím, jak probíhá příprava u ní, protože v jejích hodinách se jede přesně podle učebnice od začátku do konce). Takže jsem poděkoval, šel si pro učebnici a jal se připravovat mé vlastní hodiny. Co se toho týče, tak jsem jim věnoval více času než jsem myslel, že budu muset. Zase sem si, ale říkal, že to vlastně dělám poprvé, tak mi to přirozeně musí zabrat toho času více. Navíc tuto přípravu mohu využít i do budoucna. A koneckonců ani to, že jsem si vlastně tyto témata zopakoval není na škodu. Nejtěžší pro mne bylo asi vybrat to, co studentům říct a naopak rozhodnout co už je moc. K samotným hodinám. Můj vlastní pocit byl takový, že jsem to snad zvládl poměrně obstojně. Samozřejmě cítím, že nejdůležitější je nabít takovou tu jistotu a suverenitu při výkladu. V hodinách se také cítim lépe a přirozeněji, když jsem ve třídě sám a nemám „dozor“. Co se týče reakce žáků na moji osobu a způsob vedení výuky, tak tu shledávám z mého pohledu pozitivní. Jaká je, ale realita bychom se ale museli zeptat samotných žáků- doufám, že by se shodovala s mými pocity. Co se týče provázející učitelky, tak při posledních hodinách jsem zaznamenal takové malé drobné změny, diký kterým ale na hodinách působí mnohem lépe – občas chodí po třídě (i když hlavní stanoviště je pořád za katedrou), snaží se žáky více zapojit do hodiny, nepoužívá při výkladu jenom a pouze učebnici apod.
