idx	context	sentence	y	confidence	y_requires_context
1907	I have to explain to some why I gave them such a bad grade (the job was bad in style, they had Unfortunately, I won't have time to get around everyone, because it will ring.	Unfortunately, I won't have time to get around everyone, because it will ring.	Experience	[5, 4]
4486	I warn them of mistakes. They read in front of the class the stories they wrote. Stories are about nothing, children have no imagination and when they come up with something, What I liked: They worked, even though they were in pairs by lot, often with someone they didn't make friends with. until he is friends. What I didn't like: They weren't able to come up with a meaningful, reasonable story. Remember: Develop imagination, develop imagination, develop imagination.	What I liked: They worked, even though they were in pairs by lot, often with someone they didn't make friends with.	Feeling	[5, 2]
6544	"When I ask MiÅ¡a that maybe all three are working on the same thing, why don't they share it, she just replied: ""Well, that's quite possible. Another situation occurred when I asked MÃ­Å¡a why he was not working during another task. I got the answer: ""because MiÅ¡a doesn't want to"" and she continued to play on her mobile phone."	Another situation occurred when I asked MÃ­Å¡a why he was not working during another task.	Experience	[3, 5]
5966	Pupils reported a lot and enjoyed reading and translating. Then we summarized the rules of past simple tense on the board and made a diagram that there are regular verbs. Until now, there was no problem. no problem. I was very happy with the course of the lesson. However, in the second part of the lesson, I gave them a job in pairs.	So far there has been no problem.	Experience	[4, 4]
6218	First, I divided the children into groups using lottery papers. . . which the children are probably not very used to. . . I don't know. (According to the French teacher, the group exercises are nice, but then nothing happens... The children were given a task in the groups and the fastest had the promised number one for the activity. task, and thus rather acted as a disruptive element.	The children were given a task in groups and the fastest had the promised number one for the activity.	Other	[6, 6]
3066	Perhaps the most fun thing there is just listening or when the teacher asks the students for their opinions on When I came up with activities for them, I wanted me to prepare something fun for them outside the textbook. outside the textbook. I really like group work, working in pairs, didactic games or brainstorming. (When I teach at a language school, I use these activities a lot and they are very successful.	When I came up with activities for them, I wanted me to prepare something fun for them outside the textbook.	Experience	[5, 5]
4711	But this debate was humorous and with mutual respect. Pupils also regularly receive assignments and today, for example, they had the task of preparing a bar drink list, according to the given assignments, the pupils had in the Information System with which the whole school works. he works. 25. 10. Pupils of the last years consult with the teacher during the day of their final and graduation work. The topics Inventory, FlambÃ© and Restaurant Preparation are constantly repeated during the lessons.	Pupils had a complete assignment in the Information System, with which the whole school works.	Other	[6, 7]
3726	On the one hand, it was a change for the children, and on the other hand, they also practiced writing on I think that the involvement of modern technologies in teaching is already one of the things that all schools should focus on today. As for this lesson, I wouldn't blame her. The students were enthusiastic, actively cooperated and learned new knowledge in a very fun way.	I think that the involvement of modern technologies in teaching is already one of the things that everyone should focus on today	Belief	[4, 6]
6525	So I'm starting to admire the teacher more and more. He has a lot of preparation for work, as he does not teach only five / six hours of some subjects every day.	But I simply say that it was not easy and sometimes it still causes me a problem.	Difficulty	[6, 5]
6122	We still had a teacher at the high school, who was already so exhausted and tired that she had a stroke on the way home from school. Fortunately, she's fine, and from what I've heard, she teaches part-time again, which is very admirable. As for the lessons I have taught, I feel that I cannot teach so naturally. I can't scream when students are angry in class.	Fortunately, she's fine, and from what I've heard, she teaches part-time again, which is very admirable.	Other	[6, 5]
